error: Error al finalizar la compra: Cannot read properties of undefined (reading 'map') {"stack":"TypeError: Cannot read properties of undefined (reading 'map')\n    at EmailService.sendPurchaseConfirmation (file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/service/emailService.js:42:12)\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:105:26\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:14:19.120Z"}
error: Error al finalizar la compra: Cannot read properties of undefined (reading 'map') {"stack":"TypeError: Cannot read properties of undefined (reading 'map')\n    at EmailService.sendPurchaseConfirmation (file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/service/emailService.js:42:12)\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:105:26\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:14:42.808Z"}
error: Error al finalizar la compra: Cannot read properties of undefined (reading 'map') {"stack":"TypeError: Cannot read properties of undefined (reading 'map')\n    at EmailService.sendPurchaseConfirmation (file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/service/emailService.js:42:12)\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:105:26\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:15:38.418Z"}
error: Error al agregar producto al carrito: Cannot read properties of null (reading '_id') {"stack":"TypeError: Cannot read properties of null (reading '_id')\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:66:21\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:15:58.373Z"}
error: Error al agregar producto al carrito: Cannot read properties of null (reading '_id') {"stack":"TypeError: Cannot read properties of null (reading '_id')\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:66:21\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:16:04.073Z"}
error: Error al agregar producto al carrito: Cannot read properties of null (reading '_id') {"stack":"TypeError: Cannot read properties of null (reading '_id')\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:66:21\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:16:31.908Z"}
error: Error al agregar producto al carrito: Cannot read properties of null (reading '_id') {"stack":"TypeError: Cannot read properties of null (reading '_id')\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:66:21\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:16:39.606Z"}
error: Error al finalizar la compra: Cannot read properties of undefined (reading 'map') {"stack":"TypeError: Cannot read properties of undefined (reading 'map')\n    at EmailService.sendPurchaseConfirmation (file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/service/emailService.js:42:12)\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:105:26\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:17:09.960Z"}
error: Error al finalizar la compra: Cannot read properties of undefined (reading 'map') {"stack":"TypeError: Cannot read properties of undefined (reading 'map')\n    at EmailService.sendPurchaseConfirmation (file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/service/emailService.js:42:12)\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:105:26\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:22:58.769Z"}
error: Error al finalizar la compra: Cannot read properties of undefined (reading 'map') {"stack":"TypeError: Cannot read properties of undefined (reading 'map')\n    at EmailService.sendPurchaseConfirmation (file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/service/emailService.js:42:12)\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:105:26\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:25:47.345Z"}
error: Error al agregar producto al carrito: Cannot read properties of null (reading '_id') {"stack":"TypeError: Cannot read properties of null (reading '_id')\n    at file:///C:/Users/Camilo/Desktop/Coderhouse/Programacion-Backend/Proyecto-final/src/routes/viewsPostRoutes.js:66:21\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)","timestamp":"2024-01-19T17:26:17.094Z"}
